Source,Target,Type,Id,Label,Intercal,Weight
999999,999999,,,VZгляд,,
777777,777777,,,ДОХА,,
666666,666666,,,МКомсомол,,
43396,999999,,,,,
379442,999999,,,,,
553732,999999,,,,,
640721,999999,,,,,
796638,999999,,,,,
1718899,999999,,,,,
2026826,999999,,,,,
4126141,999999,,,,,
5424128,999999,,,,,
5506626,999999,,,,,
8135042,999999,,,,,
12013486,999999,,,,,
12491224,999999,,,,,
13190623,999999,,,,,
18145184,999999,,,,,
18241479,999999,,,,,
18309835,999999,,,,,
25252329,999999,,,,,
25503174,999999,,,,,
27351639,999999,,,,,
32123366,999999,,,,,
33068863,999999,,,,,
37923420,999999,,,,,
39485363,999999,,,,,
39828759,999999,,,,,
40587715,999999,,,,,
43880706,999999,,,,,
48047700,999999,,,,,
50033301,999999,,,,,
72023779,999999,,,,,
75395487,999999,,,,,
77206279,999999,,,,,
79768915,999999,,,,,
80230208,999999,,,,,
80914570,999999,,,,,
80988963,999999,,,,,
88363390,999999,,,,,
88473660,999999,,,,,
90681397,999999,,,,,
94794695,999999,,,,,
117263796,999999,,,,,
131866056,999999,,,,,
141822797,999999,,,,,
143920407,999999,,,,,
144881184,999999,,,,,
146582769,999999,,,,,
149184299,999999,,,,,
151568221,999999,,,,,
153563332,999999,,,,,
154418175,999999,,,,,
156875486,999999,,,,,
161286618,999999,,,,,
163875675,999999,,,,,
170323358,999999,,,,,
180711174,999999,,,,,
193908319,999999,,,,,
194642813,999999,,,,,
197179643,999999,,,,,
199595579,999999,,,,,
201615469,999999,,,,,
203802951,999999,,,,,
203856310,999999,,,,,
205309089,999999,,,,,
206522814,999999,,,,,
210539224,999999,,,,,
224261445,999999,,,,,
225095897,999999,,,,,
231019011,999999,,,,,
237420689,999999,,,,,
237774842,999999,,,,,
247760397,999999,,,,,
258009000,999999,,,,,
258504512,999999,,,,,
261521161,999999,,,,,
267155939,999999,,,,,
273983908,999999,,,,,
277275678,999999,,,,,
290486550,999999,,,,,
295996258,999999,,,,,
298363961,999999,,,,,
316743677,999999,,,,,
320635707,999999,,,,,
336658035,999999,,,,,
353874772,999999,,,,,
363454831,999999,,,,,
372218404,999999,,,,,
375350166,999999,,,,,
404105926,999999,,,,,
404314502,999999,,,,,
429578973,999999,,,,,
452758973,999999,,,,,
453492890,999999,,,,,
454136504,999999,,,,,
457282751,999999,,,,,
459801968,999999,,,,,
468059400,999999,,,,,
473665904,999999,,,,,
478903488,999999,,,,,
501077027,999999,,,,,
509684681,999999,,,,,
510658240,999999,,,,,
512901281,999999,,,,,
517213701,999999,,,,,
567484194,999999,,,,,
567521178,999999,,,,,
569196874,999999,,,,,
576324010,999999,,,,,
596475992,999999,,,,,
602952323,999999,,,,,
612776413,999999,,,,,
624452163,999999,,,,,
631422497,999999,,,,,
636401009,999999,,,,,
653248181,999999,,,,,
659585729,999999,,,,,
660724212,999999,,,,,
706858627,999999,,,,,
43396,777777,,,,,
379442,777777,,,,,
553732,777777,,,,,
640721,777777,,,,,
796638,777777,,,,,
1718899,777777,,,,,
2026826,777777,,,,,
4126141,777777,,,,,
5424128,777777,,,,,
5506626,777777,,,,,
8135042,777777,,,,,
12013486,777777,,,,,
12491224,777777,,,,,
13190623,777777,,,,,
18145184,777777,,,,,
18241479,777777,,,,,
18309835,777777,,,,,
25252329,777777,,,,,
25503174,777777,,,,,
27351639,777777,,,,,
32123366,777777,,,,,
33068863,777777,,,,,
37923420,777777,,,,,
39485363,777777,,,,,
39828759,777777,,,,,
40587715,777777,,,,,
43880706,777777,,,,,
48047700,777777,,,,,
50033301,777777,,,,,
72023779,777777,,,,,
75395487,777777,,,,,
77206279,777777,,,,,
79768915,777777,,,,,
80230208,777777,,,,,
80914570,777777,,,,,
80988963,777777,,,,,
88363390,777777,,,,,
88473660,777777,,,,,
90681397,777777,,,,,
94794695,777777,,,,,
117263796,777777,,,,,
131866056,777777,,,,,
141822797,777777,,,,,
143920407,777777,,,,,
144881184,777777,,,,,
146582769,777777,,,,,
149184299,777777,,,,,
151568221,777777,,,,,
153563332,777777,,,,,
154418175,777777,,,,,
156875486,777777,,,,,
161286618,777777,,,,,
163875675,777777,,,,,
170323358,777777,,,,,
180711174,777777,,,,,
193908319,777777,,,,,
194642813,777777,,,,,
197179643,777777,,,,,
199595579,777777,,,,,
201615469,777777,,,,,
203802951,777777,,,,,
203856310,777777,,,,,
205309089,777777,,,,,
206522814,777777,,,,,
210539224,777777,,,,,
224261445,777777,,,,,
225095897,777777,,,,,
231019011,777777,,,,,
237420689,777777,,,,,
237774842,777777,,,,,
247760397,777777,,,,,
258009000,777777,,,,,
258504512,777777,,,,,
261521161,777777,,,,,
267155939,777777,,,,,
273983908,777777,,,,,
277275678,777777,,,,,
290486550,777777,,,,,
295996258,777777,,,,,
298363961,777777,,,,,
316743677,777777,,,,,
320635707,777777,,,,,
336658035,777777,,,,,
353874772,777777,,,,,
363454831,777777,,,,,
372218404,777777,,,,,
375350166,777777,,,,,
404105926,777777,,,,,
404314502,777777,,,,,
429578973,777777,,,,,
452758973,777777,,,,,
453492890,777777,,,,,
454136504,777777,,,,,
457282751,777777,,,,,
459801968,777777,,,,,
468059400,777777,,,,,
473665904,777777,,,,,
478903488,777777,,,,,
501077027,777777,,,,,
509684681,777777,,,,,
510658240,777777,,,,,
512901281,777777,,,,,
517213701,777777,,,,,
567484194,777777,,,,,
567521178,777777,,,,,
569196874,777777,,,,,
576324010,777777,,,,,
596475992,777777,,,,,
602952323,777777,,,,,
612776413,777777,,,,,
624452163,777777,,,,,
631422497,777777,,,,,
636401009,777777,,,,,
653248181,777777,,,,,
659585729,777777,,,,,
660724212,777777,,,,,
706858627,777777,,,,,
404,777777,,,,,
2014,777777,,,,,
4316,777777,,,,,
4626,777777,,,,,
5487,777777,,,,,
6774,777777,,,,,
6873,777777,,,,,
7323,777777,,,,,
8904,777777,,,,,
9111,777777,,,,,
10751,777777,,,,,
13341,777777,,,,,
14324,777777,,,,,
15087,777777,,,,,
15236,777777,,,,,
16074,777777,,,,,
17464,777777,,,,,
18239,777777,,,,,
22164,777777,,,,,
23311,777777,,,,,
23397,777777,,,,,
27589,777777,,,,,
27879,777777,,,,,
38747,777777,,,,,
44777,777777,,,,,
46054,777777,,,,,
46742,777777,,,,,
52465,777777,,,,,
52859,777777,,,,,
53151,777777,,,,,
53745,777777,,,,,
53771,777777,,,,,
55602,777777,,,,,
55648,777777,,,,,
55885,777777,,,,,
56572,777777,,,,,
56613,777777,,,,,
59412,777777,,,,,
60119,777777,,,,,
71090,777777,,,,,
72625,777777,,,,,
75252,777777,,,,,
77805,777777,,,,,
79007,777777,,,,,
79609,777777,,,,,
80420,777777,,,,,
81266,777777,,,,,
86454,777777,,,,,
86897,777777,,,,,
95573,777777,,,,,
100449,777777,,,,,
106430,777777,,,,,
111195,777777,,,,,
116559,777777,,,,,
116932,777777,,,,,
118762,777777,,,,,
126560,777777,,,,,
127679,777777,,,,,
128370,777777,,,,,
